epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,7265.37,2.71999,2.62125,1.71067,1.02997,0.37471,0.33242,0.31542,0.15504,0.36251,0.30943,0.29856,0.14211,2.59573,2.67568,1.80599,1.0114,0.00143595,0.00143595,0.00143595
30,7517.49,2.72256,2.61807,1.70891,1.02947,0.36023,0.36532,0.31991,0.13634,0.29884,0.36251,0.30084,0.13236,2.60861,2.66876,1.70765,1.0239,0.0014277,0.0014277,0.0014277
31,7762.59,2.72637,2.65368,1.72805,1.03321,0.75824,0.24452,0.328,0.14836,0.58489,0.24099,0.30553,0.13756,2.58018,2.6993,1.76448,1.03234,0.00141945,0.00141945,0.00141945
32,8014.09,2.70766,2.65278,1.72321,1.03353,0.4001,0.36792,0.35248,0.16686,0.34819,0.37065,0.3341,0.15144,2.56543,2.68778,1.65801,1.02223,0.0014112,0.0014112,0.0014112
33,8266.5,2.69778,2.6047,1.68865,1.02312,0.37333,0.37579,0.34709,0.16539,0.41853,0.31834,0.33282,0.15217,2.54558,2.65676,1.66852,1.03071,0.00140295,0.00140295,0.00140295
34,8515.18,2.70351,2.6126,1.70426,1.02609,0.36967,0.38897,0.34947,0.16928,0.36479,0.38039,0.346,0.15515,2.5671,2.69158,1.68271,1.03258,0.0013947,0.0013947,0.0013947
35,8762.03,2.69463,2.61548,1.67539,1.02187,0.35381,0.38593,0.3384,0.16019,0.30297,0.36781,0.31676,0.14507,2.57687,2.65296,1.74025,1.02023,0.00138644,0.00138644,0.00138644
36,9015.99,2.69018,2.61039,1.68333,1.02951,0.33929,0.40124,0.31531,0.14124,0.28374,0.37672,0.29384,0.12997,2.58867,2.64863,1.70607,1.01711,0.00137819,0.00137819,0.00137819
37,9263.71,2.70846,2.60841,1.69718,1.02992,0.4102,0.36742,0.34979,0.17123,0.40658,0.35412,0.34282,0.16409,2.56849,2.61582,1.67724,1.03168,0.00136994,0.00136994,0.00136994
38,9513.58,2.69899,2.58588,1.66847,1.01964,0.36472,0.3455,0.31909,0.15518,0.33546,0.35622,0.31992,0.14291,2.56831,2.6582,1.68522,1.02026,0.00136169,0.00136169,0.00136169
39,9759.08,2.68819,2.60333,1.7033,1.02408,0.39292,0.37415,0.35582,0.16969,0.35931,0.38306,0.34946,0.16178,2.58168,2.70793,1.65521,1.02908,0.00135344,0.00135344,0.00135344
40,10012.7,2.68289,2.57678,1.68163,1.01857,0.36725,0.39308,0.35451,0.17294,0.34687,0.37647,0.34074,0.16013,2.54488,2.66824,1.67869,1.02117,0.00134519,0.00134519,0.00134519
41,10262.4,2.66724,2.56491,1.65797,1.01595,0.39359,0.374,0.35086,0.16812,0.36109,0.36793,0.33417,0.14941,2.51775,2.62212,1.68134,1.02287,0.00133693,0.00133693,0.00133693
42,10507,2.67263,2.57146,1.66591,1.02204,0.39977,0.38037,0.34554,0.16815,0.36553,0.3573,0.32593,0.15092,2.57381,2.68188,1.70543,1.01746,0.00132868,0.00132868,0.00132868
43,10755.1,2.68516,2.59088,1.68868,1.02128,0.37557,0.3934,0.34225,0.16289,0.34306,0.39151,0.34346,0.15568,2.57166,2.64236,1.72514,1.03473,0.00132043,0.00132043,0.00132043
44,11006.6,2.66947,2.58375,1.67696,1.02748,0.38699,0.36778,0.3416,0.15835,0.34373,0.33076,0.30751,0.13885,2.5621,2.62071,1.65831,1.006,0.00131218,0.00131218,0.00131218
45,11256,2.69256,2.56304,1.67598,1.02076,0.41857,0.38702,0.36941,0.17356,0.40348,0.36074,0.3523,0.15866,2.53429,2.60652,1.6403,1.0268,0.00130393,0.00130393,0.00130393
46,11502.2,2.67206,2.58797,1.66673,1.01574,0.42106,0.38949,0.37341,0.1824,0.37511,0.36758,0.35337,0.1657,2.52553,2.62233,1.6543,1.01526,0.00129568,0.00129568,0.00129568
47,11755.1,2.64913,2.53783,1.66162,1.0171,0.42771,0.36191,0.35999,0.17574,0.41262,0.36669,0.3591,0.16532,2.5591,2.68018,1.69019,1.04611,0.00128742,0.00128742,0.00128742
48,12005.3,2.67006,2.54282,1.64196,1.01509,0.39791,0.41011,0.37022,0.17311,0.38418,0.39152,0.35962,0.16459,2.54045,2.58668,1.66714,1.02927,0.00127917,0.00127917,0.00127917
49,12251.4,2.63443,2.52048,1.64301,1.01295,0.4321,0.39887,0.38179,0.18578,0.39355,0.35777,0.34908,0.1584,2.51096,2.59676,1.63178,1.00517,0.00127092,0.00127092,0.00127092
50,12500.3,2.65156,2.55037,1.65431,1.02227,0.42564,0.3818,0.35842,0.1774,0.42017,0.36446,0.34621,0.16083,2.51592,2.61146,1.66093,1.01813,0.00126267,0.00126267,0.00126267
