epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,31822.2,2.48302,2.37108,1.49857,0.987,0.47343,0.42368,0.41387,0.20842,0.41203,0.39806,0.38402,0.1852,2.38155,2.5119,1.56647,0.99073,0.000635544,0.000635544,0.000635544
127,32077.9,2.48376,2.3631,1.5027,0.98565,0.45038,0.42161,0.40725,0.19827,0.41391,0.39581,0.38034,0.18,2.39087,2.51541,1.56357,0.99465,0.000627292,0.000627292,0.000627292
128,32329.8,2.48401,2.39232,1.49657,0.98942,0.476,0.4129,0.40704,0.19173,0.44475,0.39129,0.3886,0.17811,2.3858,2.52194,1.55438,1.00122,0.00061904,0.00061904,0.00061904
129,32580.8,2.47297,2.3635,1.47745,0.98254,0.47859,0.40512,0.40566,0.20348,0.44197,0.38124,0.383,0.18179,2.38653,2.51059,1.5513,0.99569,0.000610789,0.000610789,0.000610789
130,32829.8,2.46346,2.35392,1.47747,0.98426,0.44146,0.41483,0.40812,0.20349,0.40933,0.40096,0.38695,0.1814,2.38479,2.51325,1.55995,0.99515,0.000602537,0.000602537,0.000602537
131,33087.2,2.46667,2.35825,1.47436,0.9866,0.46622,0.42674,0.41464,0.2071,0.42782,0.39952,0.38972,0.18494,2.38304,2.50392,1.55188,0.99675,0.000594286,0.000594286,0.000594286
132,33329.3,2.42264,2.30325,1.46556,0.97983,0.48592,0.40774,0.40501,0.20202,0.44418,0.38835,0.37955,0.18165,2.38625,2.49704,1.5632,0.99238,0.000586034,0.000586034,0.000586034
133,33585,2.48869,2.38099,1.48429,0.98818,0.48432,0.41491,0.4189,0.20869,0.44362,0.39045,0.38888,0.18417,2.3775,2.48622,1.53697,0.98823,0.000577782,0.000577782,0.000577782
134,33845.6,2.46867,2.35189,1.4679,0.97962,0.48488,0.41788,0.41387,0.20538,0.45083,0.39679,0.38838,0.18355,2.37146,2.49529,1.54475,0.99539,0.000569531,0.000569531,0.000569531
135,34097.6,2.45137,2.33145,1.47594,0.98008,0.51515,0.41171,0.40869,0.19876,0.45169,0.38082,0.37426,0.17796,2.38053,2.51661,1.55541,0.99529,0.000561279,0.000561279,0.000561279
136,34348.5,2.45181,2.32891,1.46603,0.97952,0.47605,0.40926,0.40384,0.19981,0.44131,0.38539,0.37537,0.17771,2.37245,2.5019,1.54189,0.99133,0.000553027,0.000553027,0.000553027
137,34607.3,2.45037,2.33851,1.48134,0.98322,0.48204,0.42184,0.41521,0.20713,0.4401,0.39168,0.38206,0.18325,2.378,2.4936,1.55478,0.99407,0.000544776,0.000544776,0.000544776
138,34865.4,2.46219,2.36451,1.45864,0.97912,0.50172,0.42817,0.43111,0.21015,0.45349,0.39911,0.39204,0.1852,2.38014,2.49644,1.54371,0.99489,0.000536524,0.000536524,0.000536524
139,35109.8,2.44475,2.34028,1.46584,0.9856,0.48146,0.41668,0.40862,0.20395,0.43764,0.39985,0.38482,0.18299,2.37787,2.49168,1.54134,0.9912,0.000528272,0.000528272,0.000528272
140,35359.7,2.46181,2.35157,1.46466,0.98435,0.47485,0.43086,0.41306,0.20753,0.4354,0.40232,0.38266,0.18479,2.37669,2.48357,1.54902,0.9903,0.000520021,0.000520021,0.000520021
141,35608.1,2.41972,2.31959,1.44284,0.98157,0.45288,0.42502,0.40907,0.20469,0.44685,0.39862,0.38705,0.18355,2.38084,2.50051,1.55155,1.00072,0.000511769,0.000511769,0.000511769
142,35857.8,2.45641,2.34123,1.46318,0.97975,0.45346,0.42756,0.41113,0.20717,0.44505,0.38377,0.38018,0.18314,2.37333,2.49758,1.54592,0.99282,0.000503517,0.000503517,0.000503517
143,36103.6,2.43095,2.32657,1.46006,0.98315,0.45697,0.43808,0.40542,0.1998,0.41404,0.40329,0.37574,0.1769,2.3769,2.49983,1.5621,0.99174,0.000495266,0.000495266,0.000495266
144,36352.1,2.42532,2.3218,1.45186,0.97737,0.4548,0.44021,0.40853,0.20611,0.41679,0.41976,0.38519,0.18374,2.37434,2.51007,1.54738,0.99632,0.000487014,0.000487014,0.000487014
145,36603.7,2.44847,2.32817,1.45908,0.97849,0.4744,0.43616,0.42693,0.20979,0.45495,0.39914,0.39173,0.18902,2.36529,2.48348,1.54409,0.98856,0.000478762,0.000478762,0.000478762
146,36854.1,2.44424,2.32509,1.44449,0.98066,0.48804,0.42,0.41742,0.20714,0.46088,0.38384,0.39012,0.18091,2.37851,2.49664,1.54641,0.99646,0.000470511,0.000470511,0.000470511
147,37105.1,2.42187,2.31908,1.43152,0.98027,0.47428,0.42373,0.41582,0.20851,0.44519,0.40752,0.39307,0.18577,2.37734,2.49281,1.54191,0.99566,0.000462259,0.000462259,0.000462259
148,37356.7,2.43193,2.32636,1.44884,0.97606,0.48619,0.42416,0.41565,0.20714,0.43764,0.40055,0.38292,0.18145,2.37713,2.50778,1.56318,0.99436,0.000454007,0.000454007,0.000454007
149,37602.7,2.4075,2.28342,1.43832,0.98086,0.4987,0.43265,0.42643,0.21049,0.45568,0.40102,0.38994,0.18835,2.36932,2.48473,1.53191,0.99065,0.000445756,0.000445756,0.000445756
150,37850.1,2.42794,2.31218,1.44406,0.9725,0.49149,0.41332,0.41137,0.20275,0.44993,0.38167,0.37678,0.17867,2.37274,2.48215,1.54764,0.98801,0.000437504,0.000437504,0.000437504
151,38095.8,2.41833,2.30964,1.43064,0.97551,0.48715,0.42628,0.4166,0.20642,0.43578,0.40148,0.38149,0.18182,2.36258,2.48998,1.54731,0.99025,0.000429253,0.000429253,0.000429253
152,38345.6,2.43115,2.32879,1.44991,0.98097,0.48517,0.42002,0.41497,0.19871,0.45957,0.38728,0.385,0.1809,2.37968,2.49885,1.54289,0.99625,0.000421001,0.000421001,0.000421001
153,38594.5,2.41889,2.31358,1.43873,0.98311,0.49012,0.43419,0.42674,0.21046,0.44912,0.39628,0.39056,0.1858,2.3807,2.49915,1.55173,0.99762,0.000412749,0.000412749,0.000412749
154,38845.9,2.42041,2.31538,1.43189,0.97814,0.48676,0.44128,0.42881,0.20835,0.45639,0.41304,0.39314,0.19195,2.36465,2.49799,1.5469,0.99378,0.000404498,0.000404498,0.000404498
155,39097,2.42356,2.30871,1.44412,0.97875,0.47152,0.42214,0.41426,0.20723,0.44202,0.40586,0.39375,0.18726,2.37008,2.49584,1.54175,0.99208,0.000396246,0.000396246,0.000396246
